



































































































3 of 10 bots unlocked.
2 of 10 environments unlocked.



         432134 function calls (423152 primitive calls) in 14.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    354/1    0.002    0.000   14.181   14.181 {built-in method builtins.exec}
        1    0.000    0.000   14.181   14.181 runForever.py:1(<module>)
        1    0.000    0.000   13.735   13.735 population.py:32(Perform_One_Simulation)
        1    0.000    0.000    9.006    9.006 simulation.py:40(End)
        1    0.000    0.000    9.005    9.005 pyrosim.py:1446(wait_to_finish)
        1    0.000    0.000    9.005    9.005 subprocess.py:889(communicate)
        1    0.000    0.000    9.005    9.005 subprocess.py:1627(_communicate)
        2    0.000    0.000    9.004    4.502 selectors.py:402(select)
        2    9.004    4.502    9.004    4.502 {method 'poll' of 'select.poll' objects}
        1    0.000    0.000    4.725    4.725 simulation.py:46(Start)
        4    4.456    1.114    4.456    1.114 {built-in method posix.system}
        1    0.000    0.000    4.444    4.444 speech.py:17(start)
        1    0.000    0.000    4.444    4.444 speech.py:49(Say_Short)
    389/1    0.002    0.000    0.430    0.430 <frozen importlib._bootstrap>:978(_find_and_load)
    389/1    0.001    0.000    0.430    0.430 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    519/2    0.000    0.000    0.429    0.215 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    374/2    0.001    0.000    0.429    0.215 <frozen importlib._bootstrap>:663(_load_unlocked)
    324/2    0.001    0.000    0.429    0.215 <frozen importlib._bootstrap_external>:722(exec_module)
        1    0.000    0.000    0.429    0.429 population.py:1(<module>)
   370/38    0.000    0.000    0.293    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    0.288    0.288 simulation.py:1(<module>)
       18    0.000    0.000    0.287    0.016 __init__.py:1(<module>)
        1    0.000    0.000    0.280    0.280 visualization.py:1(<module>)
        1    0.000    0.000    0.268    0.268 paretoFront.py:1(<module>)
        1    0.000    0.000    0.265    0.265 visualization.py:32(Save)
 1519/661    0.001    0.000    0.251    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.168    0.168 pyplot.py:19(<module>)
        1    0.000    0.000    0.141    0.141 visualization.py:104(Draw_Robot_Info)
        1    0.000    0.000    0.134    0.134 __init__.py:106(<module>)
        1    0.000    0.000    0.115    0.115 add_newdocs.py:10(<module>)
        2    0.000    0.000    0.103    0.051 pyplot.py:686(savefig)
        2    0.000    0.000    0.103    0.051 figure.py:1970(savefig)
        2    0.000    0.000    0.103    0.051 backend_bases.py:1950(print_figure)
        2    0.000    0.000    0.101    0.051 backend_agg.py:468(print_png)
      324    0.003    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.097    0.097 type_check.py:3(<module>)
        1    0.000    0.000    0.086    0.086 robotInfo.py:59(Save)
        2    0.086    0.043    0.086    0.043 {built-in method matplotlib._png.write_png}
        1    0.000    0.000    0.085    0.085 visualization.py:83(Draw_Pareto_Front)
        1    0.000    0.000    0.085    0.085 paretoFront.py:35(Draw_Empty)
  373/371    0.001    0.000    0.081    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.074    0.074 __init__.py:101(<module>)
    44/43    0.000    0.000    0.073    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    44/43    0.070    0.002    0.073    0.002 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.066    0.033 pyplot.py:1098(subplots)
        4    0.000    0.000    0.061    0.015 _base.py:963(cla)
1167/1099    0.025    0.000    0.060    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.058    0.029 __init__.py:7(<module>)
        1    0.000    0.000    0.058    0.058 figure.py:12(<module>)
        1    0.000    0.000    0.055    0.055 colorbar.py:20(<module>)
        1    0.000    0.000    0.052    0.052 _subplots.py:1(<module>)
        1    0.000    0.000    0.051    0.051 robotInfo.py:51(Draw_Empty)
      382    0.002    0.000    0.048    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      377    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      377    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    28/20    0.000    0.000    0.043    0.002 axis.py:923(set_clip_path)
        4    0.000    0.000    0.043    0.011 figure.py:1578(clf)
        2    0.000    0.000    0.043    0.021 __init__.py:45(<module>)
