Id,Entry,Date,UserID
0,?,"2019-05-29 15:50:24.784715",0
1,c,"2019-05-29 16:13:35.363175",1
2,y,"2019-05-29 16:13:40.927316",1
3,w,"2019-05-29 16:13:53.548560",1
4,c,"2019-05-29 16:14:29.088771",1
5,*jumping,"2019-05-29 16:14:54.784992",1
6,w,"2019-05-29 16:15:07.306845",1
7,y,"2019-05-29 16:15:34.617582",1
8,best,"2019-05-29 16:15:54.727279",1
9,w,"2019-05-29 16:15:59.451983",1
10,y,"2019-05-29 16:16:34.680934",1
11,?,"2019-05-29 16:16:45.998586",1
12,w,"2019-05-29 16:16:59.797727",1
13,?learning,"2019-05-29 16:17:16.029887",1
14,b,"2019-05-29 16:17:27.264933",1
15,b,"2019-05-29 16:17:40.005460",2
16,s,"2019-05-29 16:17:42.512943",1
17,w,"2019-05-29 16:18:21.864736",1
18,b,"2019-05-29 16:19:00.733790",1
19,s,"2019-05-29 16:19:25.972905",1
20,?help,"2019-05-29 16:19:32.538506",1
21,j,"2019-05-29 16:19:41.957596",3
22,anything,"2019-05-29 16:19:44.114451",1
23,w,"2019-05-29 16:19:53.252680",1
24,w,"2019-05-29 16:19:56.893963",3
25,"I don't know if this counts as","2019-05-29 16:20:18.107079",1
26,-18,"2019-05-29 16:20:29.015525",3
27,?,"2019-05-29 16:20:44.531871",3
28,all,"2019-05-29 16:20:44.887719",1
29,y,"2019-05-29 16:21:26.516868",3
30,?,"2019-05-29 16:21:32.788361",1
31,g,"2019-05-29 16:21:46.489308",1
32,g,"2019-05-29 16:21:51.298084",3
33,*sitting,"2019-05-29 16:22:00.284496",1
34,b,"2019-05-29 16:22:01.487518",1
35,b,"2019-05-29 16:22:04.251879",3
36,o,"2019-05-29 16:22:12.909959",1
37,r,"2019-05-29 16:22:16.737164",3
38,g,"2019-05-29 16:22:29.507656",1
39,g,"2019-05-29 16:22:51.789994",3
40,r,"2019-05-29 16:22:59.176615",1
41,b,"2019-05-29 16:23:05.783939",3
42,*clapping,"2019-05-29 16:23:19.223996",1
43,y,"2019-05-29 16:23:26.046556",1
44,g,"2019-05-29 16:23:50.527541",1
45,g,"2019-05-29 16:23:54.010755",3
46,hi,"2019-05-29 16:24:00.987557",4
47,"Seems like G is top of the foo","2019-05-29 16:24:06.006135",1
48,yeah,"2019-05-29 16:24:12.888133",3
49,g,"2019-05-29 16:24:16.172678",3
50,w,"2019-05-29 16:24:18.796345",1
51,o,"2019-05-29 16:24:21.783537",3
52,c,"2019-05-29 16:24:36.022525",1
53,none,"2019-05-29 16:24:36.527912",3
54,g,"2019-05-29 16:24:51.174890",3
55,b,"2019-05-29 16:25:13.748568",1
56,b,"2019-05-29 16:25:20.379432",3
57,"Red is just sitting there wait","2019-05-29 16:25:27.575463",1
58,all,"2019-05-29 16:25:31.991458",3
59,g,"2019-05-29 16:25:42.759704",1
60,g,"2019-05-29 16:25:47.196032",3
61,*play,"2019-05-29 16:26:07.821731",3
62,r,"2019-05-29 16:26:09.608462",1
63,r,"2019-05-29 16:26:14.715651",3
64,*drive,"2019-05-29 16:26:20.247877",1
65,w,"2019-05-29 16:26:38.141028",1
66,w,"2019-05-29 16:26:42.368790",3
67,j,"2019-05-29 16:27:08.795317",1
68,j,"2019-05-29 16:27:09.928233",3
69,"Seems to be some latancy betwe","2019-05-29 16:27:32.309510",1
70,y,"2019-05-29 16:27:35.689289",1
71,g,"2019-05-29 16:27:40.556703",3
72,"it's seem","2019-05-29 16:27:48.783561",3
73,-,"2019-05-29 16:27:50.210965",1
74,r,"2019-05-29 16:28:03.977972",3
75,r,"2019-05-29 16:28:04.079786",1
76,"*staring into the abyss","2019-05-29 16:28:21.647464",1
77,better,"2019-05-29 16:28:21.671437",3
78,b,"2019-05-29 16:28:29.719885",1
79,b,"2019-05-29 16:28:37.517687",3
80,"*looking at the camera","2019-05-29 16:28:38.412147",4
81,"*leaving the screen","2019-05-29 16:28:45.526903",4
82,"*playing death","2019-05-29 16:28:57.829852",1
83,y,"2019-05-29 16:29:02.974349",1
84,o,"2019-05-29 16:29:26.193035",1
85,*clapping,"2019-05-29 16:29:31.685839",3
86,r,"2019-05-29 16:29:32.992041",3
87,-,"2019-05-29 16:29:45.177124",1
88,b,"2019-05-29 16:30:09.172968",4
89,o,"2019-05-29 16:30:14.215123",3
90,g,"2019-05-29 16:30:20.101942",1
91,g,"2019-05-29 16:30:23.369408",3
92,c,"2019-05-29 16:31:05.903865",1
93,r,"2019-05-29 16:31:14.278707",1
94,b,"2019-05-29 16:31:15.805429",3
95,bb,"2019-05-29 16:31:42.484993",1
96,y,"2019-05-29 16:32:05.911354",1
97,o,"2019-05-29 16:32:09.799606",3
98,g,"2019-05-29 16:32:32.587845",1
99,g,"2019-05-29 16:32:37.671736",3
100,"is that op?","2019-05-29 16:32:54.112924",3
101,b,"2019-05-29 16:33:00.783770",1
102,b,"2019-05-29 16:33:04.878574",3
103,"Seems like him.","2019-05-29 16:33:07.882793",1
104,"yes, I'm here.","2019-05-29 16:33:21.502158",0
105,"Let me know if you have questi","2019-05-29 16:33:26.358287",0
106,"*doing gods work","2019-05-29 16:33:36.585931",1
107,*evolving,"2019-05-29 16:33:48.960457",1
108,*arguing,"2019-05-29 16:33:53.036254",1
109,g,"2019-05-29 16:33:54.694791",1
110,g,"2019-05-29 16:33:58.678946",3
111,*coding,"2019-05-29 16:34:05.345807",1
112,xD,"2019-05-29 16:34:09.439542",3
113,"*spawning children","2019-05-29 16:34:15.073024",1
114,"i don't get this","2019-05-29 16:34:37.372611",5
115,"*getting smacked by red balls","2019-05-29 16:34:45.965929",1
116,b,"2019-05-29 16:34:48.503647",1
117,b,"2019-05-29 16:34:55.165080",3
118,"anything Kappa","2019-05-29 16:35:05.290024",5
119,anything,"2019-05-29 16:35:22.889904",5
120,"*catch ball","2019-05-29 16:35:23.395137",3
121,*breathing,"2019-05-29 16:35:26.549429",1
122,*diving,"2019-05-29 16:35:31.600305",1
123,*driving,"2019-05-29 16:35:33.037801",1
124,j,"2019-05-29 16:35:42.450706",1
125,j,"2019-05-29 16:35:47.163921",3
126,"*play ball","2019-05-29 16:35:54.189227",3
127,"what am i supposed to do?","2019-05-29 16:35:55.630007",5
128,"*leaving screen","2019-05-29 16:36:01.972172",4
129,r,"2019-05-29 16:36:08.980711",1
130,p,"2019-05-29 16:36:17.580257",3
131,"type the letter of the bot tha","2019-05-29 16:36:19.114767",4
132,b,"2019-05-29 16:36:34.309883",1
133,"or tell the bots what to do","2019-05-29 16:36:35.580165",4
134,b,"2019-05-29 16:36:47.172702",3
135,"you can create a command by us","2019-05-29 16:36:50.694677",4
136,o,"2019-05-29 16:36:53.482509",5
137,"To tell bots what to do, you h","2019-05-29 16:36:58.930074",1
138,*jump,"2019-05-29 16:37:08.608659",5
139,*suiciding,"2019-05-29 16:37:15.209077",1
