Id,RobotId,RobotColor,command,Date,Speed,EnvironmentId,SimulationType
220,9,s,moving,"2019-05-29 16:13:16",2,1,
221,8,c,moving,"2019-05-29 16:13:16",2,1,
222,5,p,moving,"2019-05-29 16:13:29",2,2,
223,3,y,moving,"2019-05-29 16:13:29",2,2,
224,0,r,moving,"2019-05-29 16:13:44",2,1,
225,6,w,moving,"2019-05-29 16:13:44",2,1,
226,9,s,"being interesting","2019-05-29 16:13:57",2,1,
227,8,c,"being interesting","2019-05-29 16:13:57",2,1,
232,5,p,"being interesting","2019-05-29 16:14:53",2,2,
233,6,w,"being interesting","2019-05-29 16:14:53",2,2,
235,2,b,moving,"2019-05-29 16:15:20",2,1,
236,3,y,moving,"2019-05-29 16:15:20",2,1,
239,10,s,moving,"2019-05-29 16:15:48",2,1,
240,6,w,moving,"2019-05-29 16:15:48",2,1,
243,13,b,jumping,"2019-05-29 16:16:16",2,2,
244,3,y,jumping,"2019-05-29 16:16:16",2,2,
247,14,s,"being interesting","2019-05-29 16:16:44",2,1,
248,6,w,"being interesting","2019-05-29 16:16:44",2,1,
251,15,b,moving,"2019-05-29 16:17:12",2,1,
254,16,s,jumping,"2019-05-29 16:17:39",2,1,
255,8,c,jumping,"2019-05-29 16:17:39",2,1,
258,15,b,moving,"2019-05-29 16:18:07",2,1,
259,6,w,moving,"2019-05-29 16:18:07",2,1,
268,16,s,jumping,"2019-05-29 16:19:16",2,1,
269,12,p,jumping,"2019-05-29 16:19:16",2,1,
270,1,g,moving,"2019-05-29 16:19:30",2,1,
271,7,j,moving,"2019-05-29 16:19:30",2,1,
272,6,w,moving,"2019-05-29 16:19:44",2,2,
273,11,r,moving,"2019-05-29 16:19:44",2,2,
291,11,r,"being interesting","2019-05-29 16:21:07",2,1,
292,3,y,"being interesting","2019-05-29 16:21:07",2,1,
294,20,g,"being interesting","2019-05-29 16:21:35",2,2,
295,7,j,"being interesting","2019-05-29 16:21:35",2,2,
296,18,b,"being interesting","2019-05-29 16:21:49",2,2,
297,6,w,"being interesting","2019-05-29 16:21:49",2,2,
298,4,o,sitting,"2019-05-29 16:22:03",2,2,
299,21,r,sitting,"2019-05-29 16:22:03",2,2,
300,7,j,sitting,"2019-05-29 16:22:17",2,1,
301,20,g,sitting,"2019-05-29 16:22:17",2,1,
302,22,j,moving,"2019-05-29 16:22:31",2,2,
303,20,g,moving,"2019-05-29 16:22:31",2,2,
304,21,r,moving,"2019-05-29 16:22:45",2,2,
305,18,b,moving,"2019-05-29 16:22:45",2,2,
307,4,o,sitting,"2019-05-29 16:23:12",2,2,
308,3,y,sitting,"2019-05-29 16:23:12",2,2,
310,22,j,sitting,"2019-05-29 16:23:40",2,2,
311,20,g,sitting,"2019-05-29 16:23:40",2,2,
312,25,j,clapping,"2019-05-29 16:23:54",2,2,
313,20,g,clapping,"2019-05-29 16:23:54",2,2,
314,24,o,clapping,"2019-05-29 16:24:08",2,1,
315,6,w,clapping,"2019-05-29 16:24:08",2,1,
316,23,r,moving,"2019-05-29 16:24:22",2,2,
317,17,c,moving,"2019-05-29 16:24:22",2,2,
320,26,j,sitting,"2019-05-29 16:24:50",2,1,
321,20,g,sitting,"2019-05-29 16:24:50",2,1,
322,23,r,clapping,"2019-05-29 16:25:04",2,2,
323,18,b,clapping,"2019-05-29 16:25:04",2,2,
324,27,r,clapping,"2019-05-29 16:25:18",2,1,
325,18,b,clapping,"2019-05-29 16:25:18",2,1,
326,24,o,moving,"2019-05-29 16:25:32",2,2,
327,20,g,moving,"2019-05-29 16:25:32",2,2,
331,29,r,play,"2019-05-29 16:26:14",2,2,
