Id,colorIndex,parentID,BirthDate,DeathDate,alive,OwnerID,Locked
0,0,-1,"2019-05-29 15:46:55","2019-05-29 16:14:25",0,-1,0
1,1,-1,"2019-05-29 15:46:55","2019-05-29 16:20:25",0,-1,0
2,2,-1,"2019-05-29 15:46:55","2019-05-29 16:16:02",0,-1,0
3,3,-1,"2019-05-29 15:46:55","2019-05-29 16:27:24",0,-1,0
4,4,-1,"2019-05-29 15:46:55","2019-05-29 16:23:12",0,-1,0
5,5,-1,"2019-05-29 15:46:55","2019-05-29 16:14:53",0,-1,0
6,6,-1,"2019-05-29 15:46:55","2019-05-29 16:26:28",0,-1,0
7,7,-1,"2019-05-29 15:46:55","2019-05-29 16:22:17",0,-1,0
8,8,-1,"2019-05-29 15:46:55","2019-05-29 16:18:21",0,-1,0
9,9,-1,"2019-05-29 15:46:55","2019-05-29 16:13:57",0,-1,0
10,9,-1,"2019-05-29 16:14:11","2019-05-29 16:16:30",0,-1,0
11,0,-1,"2019-05-29 16:14:38","2019-05-29 16:21:07",0,-1,0
12,5,-1,"2019-05-29 16:15:06","2019-05-29 16:19:58",0,-1,0
13,2,3,"2019-05-29 16:16:16","2019-05-29 16:16:58",0,-1,0
14,9,6,"2019-05-29 16:16:43","2019-05-29 16:17:26",0,-1,0
15,2,-1,"2019-05-29 16:17:11","2019-05-29 16:18:48",0,-1,0
16,9,8,"2019-05-29 16:17:39","2019-05-29 16:32:50",0,-1,0
17,8,3,"2019-05-29 16:18:34","2019-05-29 16:30:08",0,-1,0
18,2,6,"2019-05-29 16:19:02","2019-05-29 19:11:14",0,1,0
19,5,-1,"2019-05-29 16:20:11","2019-05-29 16:39:32",0,-1,0
20,1,6,"2019-05-29 16:20:39","2019-05-29 17:03:45",0,1,0
21,0,-1,"2019-05-29 16:21:20","2019-05-29 16:22:45",0,-1,0
22,7,20,"2019-05-29 16:22:30","2019-05-29 16:23:40",0,-1,0
23,0,-1,"2019-05-29 16:22:58","2019-05-29 16:25:04",0,-1,0
24,4,-1,"2019-05-29 16:23:26","2019-05-29 16:25:32",0,-1,0
25,7,20,"2019-05-29 16:23:54","2019-05-29 16:24:36",0,-1,0
26,7,20,"2019-05-29 16:24:50","2019-05-29 16:26:56",0,-1,0
27,0,18,"2019-05-29 16:25:18","2019-05-29 16:26:00",0,-1,0
28,4,-1,"2019-05-29 16:25:46","2019-05-29 16:29:13",0,-1,0
29,0,3,"2019-05-29 16:26:14","2019-05-29 16:31:02",0,-1,0
30,6,-1,"2019-05-29 16:26:42","2019-05-29 16:33:43",0,-1,0
31,7,-1,"2019-05-29 16:27:10","2019-05-29 16:58:48",0,4,0
32,3,-1,"2019-05-29 16:27:38","2019-05-29 16:34:37",0,-1,0
