Id,FasterOrSlower,Date,UserID,Honored
0,-,"2019-05-29 16:27:50",1,1
1,+,"2019-05-29 16:44:23",5,1
2,-,"2019-05-29 16:45:16",3,1
3,+,"2019-05-29 17:06:14",3,1
4,+,"2019-05-29 17:34:13",3,1
5,-,"2019-05-29 17:35:28",3,1
6,+,"2019-05-29 17:48:50",1,1
7,+,"2019-05-29 18:07:29",1,1
8,-,"2019-05-30 07:22:27",3,1
9,-,"2019-05-30 07:25:46",3,1
10,+,"2019-05-30 07:30:13",3,1
11,+,"2019-05-30 07:43:13",3,1
12,-,"2019-05-30 07:49:02",3,1
13,-,"2019-05-30 07:49:11",3,1
14,+,"2019-05-30 07:52:25",3,1
15,+,"2019-05-30 07:54:01",3,1
16,-,"2019-05-30 08:00:38",3,1
17,-,"2019-05-30 08:01:01",3,1
18,+,"2019-05-30 11:28:29",22,1
19,+,"2019-05-30 17:46:28",14,1
20,-,"2019-06-03 22:18:50",41,1
21,+,"2019-06-03 22:34:00",41,1
22,-,"2019-06-14 19:08:59",94,1
23,-,"2019-06-14 19:15:42",94,1
24,+,"2019-06-15 05:18:58",94,1
25,-,"2019-06-15 05:21:23",94,1
26,+,"2019-06-15 06:52:02",94,1
27,+,"2019-06-22 07:17:36",141,1
28,-,"2019-06-22 07:20:31",94,1
29,+,"2019-06-22 07:21:43",141,1
30,-,"2019-06-22 07:23:41",94,1
31,-,"2019-06-22 07:27:02",94,1
32,+,"2019-06-22 07:29:52",94,1
33,+,"2019-06-22 07:30:08",94,1
34,-,"2019-07-01 00:43:30",170,1
35,+,"2019-07-06 23:41:01",199,1
36,-,"2019-07-07 07:13:09",200,1
37,-,"2019-07-07 07:20:19",200,1
38,-,"2019-07-08 16:11:56",209,1
39,+,"2019-07-09 04:40:46",213,1
40,-,"2019-07-09 04:42:00",213,1
41,+,"2019-07-09 11:06:15",94,1
42,+,"2019-07-09 11:06:30",94,1
43,-,"2019-07-10 04:45:12",213,1
44,-,"2019-07-10 04:47:29",213,1
45,+,"2019-07-11 11:34:17",229,1
46,-,"2019-07-13 04:38:00",239,1
47,+,"2019-07-13 12:32:51",243,1
48,+,"2019-07-13 16:01:58",199,1
49,+,"2019-07-13 16:02:31",199,1
50,-,"2019-07-17 18:42:10",269,1
51,+,"2019-07-17 18:42:27",269,1
52,+,"2019-07-17 18:42:37",269,1
53,-,"2019-07-20 12:18:26",288,1
54,+,"2019-07-21 21:35:27",301,1
55,-,"2019-07-31 17:13:40",335,1
56,-,"2019-07-31 17:23:56",335,1
57,-,"2019-07-31 18:28:11",335,1
58,+,"2019-07-31 18:30:36",335,1
59,+,"2019-07-31 20:51:49",94,1
60,+,"2019-08-02 16:54:41",345,1
61,-,"2019-08-03 02:07:06",335,1
62,+,"2019-08-03 08:28:42",352,1
63,-,"2019-08-04 23:04:21",351,1
64,+,"2019-08-04 23:25:09",351,1
65,-,"2019-08-05 03:37:39",351,1
66,+,"2019-08-05 16:42:30",367,1
67,-,"2019-08-06 01:18:55",351,1
68,-,"2019-08-06 01:19:23",351,1
69,+,"2019-08-06 01:34:35",351,1
70,+,"2019-08-06 08:26:57",382,1
71,-,"2019-08-09 04:48:38",351,1
