Command,commandEncoding,Date,Votes,UserID
moving,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 15:46:58",13,-1
"being interesting","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 15:46:58",1,-1
jumping,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:14:54",16,1
sitting,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:22:00",4,1
clapping,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:23:19",8,1
play,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:26:07",4,3
drive,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:26:20",1,1
"staring into the abyss","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I4
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:28:21",1,1
"looking at the camera","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I4
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:28:38",2,4
"playing death","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:28:57",1,1
"doing gods work","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I3
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:33:36",1,1
evolving,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:33:48",1,1
arguing,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:33:53",2,1
coding,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:34:05",1,1
"spawning children","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:34:15",1,1
"getting smacked by red balls","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I5
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:34:45",1,1
"catch ball","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:35:23",1,3
breathing,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:35:26",1,1
diving,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:35:31",2,1
driving,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:35:33",4,1
"play ball","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:35:54",1,3
