Users
Id,PosReinforcements,NegReinforcements,CommandCount,DateAdded,Points,PointsPerSec,StartInfoClaims,EndInfoClaims
0,0,0,0,2019-05-29 15:50:24,2.48848500000003,0.1,0,0
1,539,518,53,2019-05-29 16:13:35,13303.6214186,381.8,0,0
2,1,0,0,2019-05-29 16:17:40,1.0,0.1,0,0
3,347,343,64,2019-05-29 16:19:41,88111.5631012,556.6,0,0
4,13,13,13,2019-05-29 16:24:00,2370.6784453,251.9,0,0
5,19,19,3,2019-05-29 16:34:37,233.5877893,2.2,0,0
6,1,1,0,2019-05-29 17:30:21,9.6492533,0.2,0,0
7,2,2,0,2019-05-29 18:25:39,21.9639225,0.3,0,0
8,608,605,17,2019-05-29 19:57:35,14018.0191251,206.5,0,0
9,68,68,2,2019-05-29 20:27:36,1118.2330294,8.1,0,0
10,1,1,0,2019-05-29 21:03:55,1.0,0.2,0,0
11,12,12,0,2019-05-29 21:17:48,89.7316955,0.8,0,0
12,16,16,0,2019-05-29 21:52:10,130.226231,1.1,0,0
13,0,0,0,2019-05-29 22:55:52,8.808376,0.1,0,0
14,857,854,0,2019-05-29 23:02:52,6182.29664579999,13.4,0,0
15,4,4,0,2019-05-29 23:35:40,20.172852,0.4,0,0
16,26,26,0,2019-05-30 00:14:23,100.7170585,1.2,0,0
17,0,0,0,2019-05-30 00:28:27,1.0,0.1,0,0
18,21,21,0,2019-05-30 00:58:07,266.2561143,1.5,0,0
19,891,888,89,2019-05-30 01:18:23,317018.3699544,638.1,0,0
20,2,2,0,2019-05-30 02:07:07,1.5028302,0.2,0,0
21,7,7,0,2019-05-30 05:13:18,20.5803964,0.2,0,0
22,8,8,0,2019-05-30 11:24:31,20.8306009,0.3,0,0
23,5,5,0,2019-05-30 12:36:43,84.9583431,0.3,0,0
24,10,10,0,2019-05-30 17:08:14,64.4555732,0.6,0,0
25,604,604,0,2019-05-30 18:46:08,5341.98333939999,10.6,0,0
26,50,50,0,2019-05-30 23:05:55,919.9578305,0.8,0,0
27,10,10,0,2019-05-31 05:25:38,222.9630159,0.4,0,0
28,64,64,6,2019-05-31 22:42:00,6106.2809832,26.6,0,0
29,0,0,0,2019-06-01 04:04:40,28.50264,0.1,0,0
30,2,2,0,2019-06-01 15:18:29,15.3808796,0.2,0,0
31,6,6,0,2019-06-01 19:25:33,15.6236006,0.4,0,0
32,24,24,1,2019-06-01 21:25:16,198.2452971,1.2,0,0
33,1,1,0,2019-06-02 07:09:07,13.5248505,0.1,0,0
34,0,0,0,2019-06-02 08:47:09,1.0,0.1,0,0
35,1,1,0,2019-06-02 09:00:20,1.0,0.1,0,0
36,0,0,0,2019-06-02 13:16:15,1.0,0.1,0,0
37,0,0,0,2019-06-02 16:46:06,3.0341242,0.1,0,0
38,0,0,0,2019-06-02 16:48:58,1.0,0.1,0,0
39,57,57,1,2019-06-02 19:10:32,1571.3812322,2.8,0,0
40,1,1,0,2019-06-03 06:07:57,1.0,0.2,0,0
41,332,331,4,2019-06-03 22:09:09,7172.45791059999,25.9,0,0
42,0,0,0,2019-06-04 14:22:21,6.6450123,0.1,0,0
43,20,20,0,2019-06-04 16:12:43,86.8085607,0.7,0,0
44,1,1,0,2019-06-05 01:38:23,6.2253347,0.2,0,0
45,3,2,0,2019-06-05 09:16:39,41.5857396,0.1,0,0
46,91,91,3,2019-06-05 10:39:24,3484.2175517,23.5,0,0
47,0,0,0,2019-06-05 11:51:14,4.8284907,0.1,0,0
48,18,17,0,2019-06-05 13:09:26,144.7001692,0.3,0,0
49,20,19,0,2019-06-05 20:08:07,132.4354253,1.1,0,0
50,42,42,0,2019-06-05 21:24:02,364.8981864,1.3,0,0
51,24,24,0,2019-06-05 21:25:29,246.906866,1.6,0,0
52,29,29,0,2019-06-06 01:39:17,179.7620671,1.2,0,0
53,6,6,0,2019-06-06 02:34:59,12.9398068,0.3,0,0
54,10,10,0,2019-06-06 04:15:03,14.2570839,0.4,0,0
55,0,0,0,2019-06-06 05:15:59,4.8284122,0.1,0,0
56,2,2,0,2019-06-06 09:19:22,3.363443,0.3,0,0
57,0,0,0,2019-06-06 13:58:06,5.0508145,0.1,0,0
58,3,3,0,2019-06-06 16:05:17,5.1516054,0.1,0,0
59,0,0,0,2019-06-07 04:32:32,5.2443837,0.1,0,0
60,0,0,0,2019-06-07 12:33:29,4.8922138,0.1,0,0
61,6,6,0,2019-06-07 15:36:23,30.2253987,0.6,0,0
62,2,2,0,2019-06-07 15:54:52,8.3084531,0.2,0,0
63,2,2,0,2019-06-07 23:53:39,4.0009096,0.2,0,0
64,1,1,0,2019-06-08 02:01:24,1.0,0.1,0,0
65,0,0,0,2019-06-08 10:54:10,16.4647513,0.1,0,0
66,9,9,0,2019-06-08 11:01:58,22.8188108,0.6,0,0
67,0,0,0,2019-06-08 13:45:03,2.9387543,0.1,0,0
68,7,7,0,2019-06-09 00:01:31,14.8215393,0.4,0,0
69,41,41,0,2019-06-09 07:42:02,648.8859349,1.8,0,0
70,4,4,0,2019-06-09 13:19:47,7.5152815,0.4,0,0
71,0,0,0,2019-06-09 18:35:43,3.308954,0.1,0,0
72,16,16,0,2019-06-11 00:13:49,104.4636515,0.9,0,0
73,0,0,0,2019-06-11 03:14:02,5.2020087,0.1,0,0
74,0,0,0,2019-06-11 06:41:31,6.5405139,0.1,0,0
75,22,22,0,2019-06-11 17:21:45,172.2481824,1.0,0,0
76,0,0,0,2019-06-12 01:18:58,4.8984738,0.1,0,0
